source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell type]
MSV000093870-SC-0001	homo sapiens	ovary	not applicable	not applicable	oocyte	1	cell	wAP0021_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0021_20220705232143.raw	oocyte
MSV000093870-SC-0002	homo sapiens	ovary	not applicable	not applicable	oocyte	2	cell	wAP0021_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0021_20220705232143.raw	oocyte
MSV000093870-SC-0003	homo sapiens	ovary	not applicable	not applicable	oocyte	3	cell	wAP0021_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0021_20220705232143.raw	oocyte
MSV000093870-SC-0004	homo sapiens	ovary	not applicable	not applicable	oocyte	4	cell	wAP0022_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0022.raw	oocyte
MSV000093870-SC-0005	homo sapiens	ovary	not applicable	not applicable	oocyte	5	cell	wAP0022_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0022.raw	oocyte
MSV000093870-SC-0006	homo sapiens	ovary	not applicable	not applicable	oocyte	6	cell	wAP0022_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0022.raw	oocyte
MSV000093870-SC-0007	homo sapiens	ovary	not applicable	not applicable	oocyte	7	cell	wAP0023_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0023.raw	oocyte
MSV000093870-SC-0008	homo sapiens	ovary	not applicable	not applicable	oocyte	8	cell	wAP0023_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0023.raw	oocyte
MSV000093870-SC-0009	homo sapiens	ovary	not applicable	not applicable	oocyte	9	cell	wAP0023_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0023.raw	oocyte
MSV000093870-SC-0010	homo sapiens	ovary	not applicable	not applicable	oocyte	10	cell	wAP0024_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0024.raw	oocyte
