source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[protein_coding_gene]	characteristics[concentration of]	characteristics[biological replicate]	characteristics[cell type]	Material Type	technology type	assay name	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	factor value[protein_coding_gene]	factor value[concentration of]
Sample 1	Saccharomyces cerevisiae	not applicable	not available	UPS1	12500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R1.raw	UPS1_12500amol_R1.mzML	UPS1	12500 amol
Sample 1	Saccharomyces cerevisiae	not applicable	not available	UPS1	12500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 2	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R2.raw	UPS1_12500amol_R2.mzML	UPS1	12500 amol
Sample 1	Saccharomyces cerevisiae	not applicable	not available	UPS1	12500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 3	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R3.raw	UPS1_12500amol_R3.mzML	UPS1	12500 amol
Sample 2	Saccharomyces cerevisiae	not applicable	not available	UPS1	125 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 4	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R1.raw	UPS1_125amol_R1.mzML	UPS1	125 amol
Sample 2	Saccharomyces cerevisiae	not applicable	not available	UPS1	125 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 5	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R2.raw	UPS1_125amol_R2.mzML	UPS1	125 amol
Sample 2	Saccharomyces cerevisiae	not applicable	not available	UPS1	125 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 6	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R3.raw	UPS1_125amol_R3.mzML	UPS1	125 amol
Sample 3	Saccharomyces cerevisiae	not applicable	not available	UPS1	25000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 7	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R1.raw	UPS1_25000amol_R1.mzML	UPS1	25000 amol
Sample 3	Saccharomyces cerevisiae	not applicable	not available	UPS1	25000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 8	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R2.raw	UPS1_25000amol_R2.mzML	UPS1	25000 amol
Sample 3	Saccharomyces cerevisiae	not applicable	not available	UPS1	25000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 9	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R3.raw	UPS1_25000amol_R3.mzML	UPS1	25000 amol
Sample 4	Saccharomyces cerevisiae	not applicable	not available	UPS1	2500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 10	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R1.raw	UPS1_2500amol_R1.mzML	UPS1	2500 amol
Sample 4	Saccharomyces cerevisiae	not applicable	not available	UPS1	2500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 11	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R2.raw	UPS1_2500amol_R2.mzML	UPS1	2500 amol
Sample 4	Saccharomyces cerevisiae	not applicable	not available	UPS1	2500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 12	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R3.raw	UPS1_2500amol_R3.mzML	UPS1	2500 amol
Sample 5	Saccharomyces cerevisiae	not applicable	not available	UPS1	250 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 13	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R1.raw	UPS1_250amol_R1.mzML	UPS1	250 amol
Sample 5	Saccharomyces cerevisiae	not applicable	not available	UPS1	250 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 14	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R2.raw	UPS1_250amol_R2.mzML	UPS1	250 amol
Sample 5	Saccharomyces cerevisiae	not applicable	not available	UPS1	250 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 15	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R3.raw	UPS1_250amol_R3.mzML	UPS1	250 amol
Sample 6	Saccharomyces cerevisiae	not applicable	not available	UPS1	50000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 16	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R1.raw	UPS1_50000amol_R1.mzML	UPS1	50000 amol
Sample 6	Saccharomyces cerevisiae	not applicable	not available	UPS1	50000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 17	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R2.raw	UPS1_50000amol_R2.mzML	UPS1	50000 amol
