source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	factor value[organism]
PXD003868-sample-1	Saccharomyces cerevisiae	not available	1	run 1	proteomic profiling by mass spectrometry	BY_04_NaN3_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-2	Saccharomyces cerevisiae	not available	1	run 2	proteomic profiling by mass spectrometry	delPBP1_DB_NaN3_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-3	Saccharomyces cerevisiae	not available	1	run 3	proteomic profiling by mass spectrometry	BY_04_NaN3_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-4	Saccharomyces cerevisiae	not available	1	run 4	proteomic profiling by mass spectrometry	BY_04_heat_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-5	Saccharomyces cerevisiae	not available	1	run 5	proteomic profiling by mass spectrometry	delPBP1_DB_heat_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-6	Saccharomyces cerevisiae	not available	1	run 6	proteomic profiling by mass spectrometry	delPBP1_DB_heat_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-7	Saccharomyces cerevisiae	not available	1	run 7	proteomic profiling by mass spectrometry	delPBP1_DB_NaN3_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-8	Saccharomyces cerevisiae	not available	1	run 8	proteomic profiling by mass spectrometry	delPBP1_DB_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-9	Saccharomyces cerevisiae	not available	1	run 9	proteomic profiling by mass spectrometry	delPBP1_DB_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-10	Saccharomyces cerevisiae	not available	1	run 10	proteomic profiling by mass spectrometry	delPBP1_SM_NaN3_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
