source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[age]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[associated file uri]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD004701-Sample-1	Homo sapiens	breast	not available	184a1	CVCL_3040	cell line	21Y	adult	not available	not available	Female	1	cell line	run1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR1.wiff	guot_K160125_sw_BR1.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR1.wiff	184a1
PXD004701-Sample-1	Homo sapiens	breast	not available	184a1	CVCL_3040	cell line	21Y	adult	not available	not available	Female	2	cell line	run2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR203.wiff	guot_L160226_BR203.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR203.wiff	184a1
PXD004701-Sample-1	Homo sapiens	breast	not available	184a1	CVCL_3040	cell line	21Y	adult	not available	not available	Female	3	cell line	run3	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR63.wiff	guot_K160125_sw_BR63.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR63.wiff	184a1
PXD004701-Sample-1	Homo sapiens	breast	not available	184a1	CVCL_3040	cell line	21Y	adult	not available	not available	Female	4	cell line	run4	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR147B.wiff	guot_K160125_sw_BR147B.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR147B.wiff	184a1
PXD004701-Sample-2	Homo sapiens	breast	not available	184b5	CVCL_4688	cell line	21Y	adult	not available	not available	Female	1	cell line	run5	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR114.wiff	guot_K160125_sw_BR114.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR114.wiff	184b5
PXD004701-Sample-2	Homo sapiens	breast	not available	184b5	CVCL_4688	cell line	21Y	adult	not available	not available	Female	2	cell line	run6	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR204.wiff	guot_L160226_BR204.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR204.wiff	184b5
PXD004701-Sample-2	Homo sapiens	breast	not available	184b5	CVCL_4688	cell line	21Y	adult	not available	not available	Female	3	cell line	run7	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR64.wiff	guot_K160125_sw_BR64.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR64.wiff	184b5
PXD004701-Sample-2	Homo sapiens	breast	not available	184b5	CVCL_4688	cell line	21Y	adult	not available	not available	Female	4	cell line	run8	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR149B.wiff	guot_K160125_sw_BR149B.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR149B.wiff	184b5
PXD004701-Sample-3	Homo sapiens	pleural effusion	Invasive breast carcinoma of no special type	600mpe	CVCL_9875	cell line	46Y	adult	not available	not available	Female	1	cell line	run9	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR225.wiff	guot_K160125_sw_BR225.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR225.wiff	600mpe
PXD004701-Sample-3	Homo sapiens	pleural effusion	Invasive breast carcinoma of no special type	600mpe	CVCL_9875	cell line	46Y	adult	not available	not available	Female	2	cell line	run10	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR205.wiff	guot_L160226_BR205.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR205.wiff	600mpe
