source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell type]	Material Type	technology type	assay name	comment[label]	comment[proteomics data acquisition method]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]
Sample 1	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 1	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	1	1	7464PIMa_1_exp1.raw	7464PIMa_1_exp1.raw
Sample 1	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 2	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	2	1	7464PIMa_1_exp2.raw	7464PIMa_1_exp2.raw
Sample 1	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 3	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	3	1	7464PIMa_1_exp3.raw	7464PIMa_1_exp3.raw
Sample 2	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 4	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	1	1	7464PIMa_2_exp1.raw	7464PIMa_2_exp1.raw
Sample 2	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 5	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	2	1	7464PIMa_2_exp2.raw	7464PIMa_2_exp2.raw
Sample 2	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 6	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	3	1	7464PIMa_2_exp3.raw	7464PIMa_2_exp3.raw
Sample 3	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 7	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	1	1	7464PIMa_3_exp1.raw	7464PIMa_3_exp1.raw
Sample 3	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 8	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	2	1	7464PIMa_3_exp2.raw	7464PIMa_3_exp2.raw
Sample 3	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 9	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	3	1	7464PIMa_3_exp3.raw	7464PIMa_3_exp3.raw
Sample 4	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 10	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	1	1	7464PIMa_4_exp1.raw	7464PIMa_4_exp1.raw
Sample 4	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 11	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	2	1	7464PIMa_4_exp2.raw	7464PIMa_4_exp2.raw
Sample 4	Toxoplasma gondii	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 12	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.02 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	3	1	7464PIMa_4_exp3.raw	7464PIMa_4_exp3.raw
