source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[age]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD017199-Sample-1	Homo sapiens	breast	normal	184A1	CVCL_3040	cell line	21Y	adult	not available	not available	Female	1	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_175_184A11_A.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_175_184A11_A.raw	184A1
PXD017199-Sample-2	Homo sapiens	breast	normal	184A1	CVCL_3040	cell line	21Y	adult	not available	not available	Female	2	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_176_184A11_B.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_176_184A11_B.raw	184A1
PXD017199-Sample-3	Homo sapiens	breast	normal	184A1	CVCL_3040	cell line	21Y	adult	not available	not available	Female	3	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_177_184A11_C.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_177_184A11_C.raw	184A1
PXD017199-Sample-4	Homo sapiens	breast	normal	184B5	CVCL_4688	cell line	21Y	adult	not available	not available	Female	1	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180328_MT_190_184B5_A.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180328_MT_190_184B5_A.raw	184B5
PXD017199-Sample-5	Homo sapiens	breast	normal	184B5	CVCL_4688	cell line	21Y	adult	not available	not available	Female	2	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180328_MT_191_184B5_B.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180328_MT_191_184B5_B.raw	184B5
PXD017199-Sample-6	Homo sapiens	breast	normal	184B5	CVCL_4688	cell line	21Y	adult	not available	not available	Female	3	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180328_MT_192_184B5_C.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180328_MT_192_184B5_C.raw	184B5
PXD017199-Sample-7	Homo sapiens	breast	normal	MCF10A	CVCL_0598	cell line	36Y	adult	not available	not available	Female	1	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_157_MCF10A_A.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_157_MCF10A_A.raw	MCF10A
PXD017199-Sample-8	Homo sapiens	breast	normal	MCF10A	CVCL_0598	cell line	36Y	adult	not available	not available	Female	2	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_158_MCF10A_B.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_158_MCF10A_B.raw	MCF10A
PXD017199-Sample-9	Homo sapiens	breast	normal	MCF10A	CVCL_0598	cell line	36Y	adult	not available	not available	Female	3	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_159_MCF10A_C.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_159_MCF10A_C.raw	MCF10A
PXD017199-Sample-10	Homo sapiens	breast	normal	MCF10F	CVCL_3633	cell line	36Y	adult	not available	not available	Female	1	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_85_MCF10F_A.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_85_MCF10F_A.raw	MCF10F
