Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[human leukocyte antigen]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[individual]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]	Factor Value[human leukocyte antigen]
PXD019643-Sample-2	Homo sapiens	tongue	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN15	1	organism part	run 1	proteomic profiling by mass spectrometry	170719_AM_AUT01-DN15_Tongue_Tue39L243_10_DDA_1_400-1000mz_msms9_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/170719_AM_AUT01-DN15_Tongue_Tue39L243_10_DDA_1_400-1000mz_msms9_standard.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	tongue	Human leukocyte antigen class II
PXD019643-Sample-2	Homo sapiens	tongue	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN15	1	organism part	run 2	proteomic profiling by mass spectrometry	170719_AM_AUT01-DN15_Tongue_Tue39L243_10_DDA_2_400-1000mz_msms10_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/170719_AM_AUT01-DN15_Tongue_Tue39L243_10_DDA_2_400-1000mz_msms10_standard.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	tongue	Human leukocyte antigen class II
PXD019643-Sample-2	Homo sapiens	tongue	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN15	1	organism part	run 3	proteomic profiling by mass spectrometry	170719_AM_AUT01-DN15_Tongue_Tue39L243_10_DDA_3_400-1000mz_msms11_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/170719_AM_AUT01-DN15_Tongue_Tue39L243_10_DDA_3_400-1000mz_msms11_standard.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	tongue	Human leukocyte antigen class II
PXD019643-Sample-5	Homo sapiens	heart	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN17	1	organism part	run 4	proteomic profiling by mass spectrometry	170804_AM_AUT01-DN17_Heart_Tue39L243_10_DDA_1_400-1000mz_msms27_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/170804_AM_AUT01-DN17_Heart_Tue39L243_10_DDA_1_400-1000mz_msms27_standard.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	heart	Human leukocyte antigen class II
PXD019643-Sample-5	Homo sapiens	heart	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN17	1	organism part	run 5	proteomic profiling by mass spectrometry	170804_AM_AUT01-DN17_Heart_Tue39L243_10_DDA_2_400-1000mz_msms28_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/170804_AM_AUT01-DN17_Heart_Tue39L243_10_DDA_2_400-1000mz_msms28_standard.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	heart	Human leukocyte antigen class II
PXD019643-Sample-5	Homo sapiens	heart	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN17	1	organism part	run 6	proteomic profiling by mass spectrometry	170804_AM_AUT01-DN17_Heart_Tue39L243_10_DDA_3_400-1000mz_msms29_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/170804_AM_AUT01-DN17_Heart_Tue39L243_10_DDA_3_400-1000mz_msms29_standard.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	heart	Human leukocyte antigen class II
PXD019643-Sample-8	Homo sapiens	testis	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN09	1	organism part	run 7	proteomic profiling by mass spectrometry	160906_AM_AUT01-DN09_Testis_Tue39L243_10_DDA_1_400-1000mz_msms49_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/160906_AM_AUT01-DN09_Testis_Tue39L243_10_DDA_1_400-1000mz_msms49_standard.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	testis	Human leukocyte antigen class II
PXD019643-Sample-8	Homo sapiens	testis	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN09	1	organism part	run 8	proteomic profiling by mass spectrometry	160906_AM_AUT01-DN09_Testis_Tue39L243_10_DDA_2_400-1000mz_msms50_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/160906_AM_AUT01-DN09_Testis_Tue39L243_10_DDA_2_400-1000mz_msms50_standard.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	testis	Human leukocyte antigen class II
PXD019643-Sample-8	Homo sapiens	testis	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN09	1	organism part	run 9	proteomic profiling by mass spectrometry	160906_AM_AUT01-DN09_Testis_Tue39L243_10_DDA_3_400-1000mz_msms51_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/160906_AM_AUT01-DN09_Testis_Tue39L243_10_DDA_3_400-1000mz_msms51_standard.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	testis	Human leukocyte antigen class II
PXD019643-Sample-9	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN14	1	organism part	run 10	proteomic profiling by mass spectrometry	170506_AM_AUT01-DN14_Spleen_Tue39L243_10_DDA_1_400-1000mz_msms25_standard.mzML	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD019463/170506_AM_AUT01-DN14_Spleen_Tue39L243_10_DDA_1_400-1000mz_msms25_standard.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
