Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[mass]	Characteristics[spiked compound]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[spiked compound]
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 1	proteomic profiling by mass spectrometry	HF2_8379_RST_1_phos_281118.raw	HF2_8379_RST_1_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 2	proteomic profiling by mass spectrometry	HF2_8379_RST_2_phos_281118.raw	HF2_8379_RST_2_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 3	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 3	proteomic profiling by mass spectrometry	HF2_8379_RST_3_phos_281118.raw	HF2_8379_RST_3_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 4	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 4	proteomic profiling by mass spectrometry	HF2_8379_RST_4_phos_281118.raw	HF2_8379_RST_4_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 5	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 5	proteomic profiling by mass spectrometry	HF2_8379_RST_5_phos_281118.raw	HF2_8379_RST_5_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 6	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 6	proteomic profiling by mass spectrometry	HF2_8379_RST_6_phos_281118.raw	HF2_8379_RST_6_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 7	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 7	proteomic profiling by mass spectrometry	HF2_8379_RST_7_phos_281118.raw	HF2_8379_RST_7_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 8	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 8	proteomic profiling by mass spectrometry	HF2_8379_RST_8_phos_281118.raw	HF2_8379_RST_8_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 9	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 9	proteomic profiling by mass spectrometry	HF2_8379_RST_9_phos_281118.raw	HF2_8379_RST_9_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
Sample 10	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 10	proteomic profiling by mass spectrometry	HF2_8379_RST_10_phos_281118.raw	HF2_8379_RST_10_phos_281118.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	20 ppm	0.03 Da	Control
