source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[time]
PXD034623-M2-Gal1-6h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_1_6hg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_1_6hg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	6 hours
PXD034623-M2-Gal1-6h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_2_6hg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_2_6hg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	6 hours
PXD034623-M2-Gal1-6h-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	3	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_3_6hg3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_3_6hg3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	6 hours
PXD034623-M2-Gal1-6h-D4	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	4	primary cell	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_4_6hg4_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_4_6hg4_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	6 hours
PXD034623-M2-PBS-6h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_5_6hp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_5_6hp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	6 hours
PXD034623-M2-PBS-6h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_6_6hp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_6_6hp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	6 hours
PXD034623-M2-PBS-6h-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_7_6hp3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_7_6hp3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	6 hours
PXD034623-M2-PBS-6h-D4	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	4	primary cell	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_8_6hp4_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_8_6hp4_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	6 hours
PXD034623-M2-Gal1-5m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_9_5mg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_9_5mg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
PXD034623-M2-Gal1-5m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_10_5mg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_10_5mg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
