source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[age]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD041421-Sample-1	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	1	cell line	run1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot1-16_1_3182.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	1	CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot1-16_1_3182.d.zip	A549
PXD041421-Sample-1	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	1	cell line	run2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot1-16_1_3183.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	2	CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot1-16_1_3183.d.zip	A549
PXD041421-Sample-1	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	1	cell line	run3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot1-16_1_3184.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	3	CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot1-16_1_3184.d.zip	A549
PXD041421-Sample-1	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	1	cell line	run4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot1-16_1_3185.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	4	CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot1-16_1_3185.d.zip	A549
PXD041421-Sample-1	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	1	cell line	run5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot2-34_1_9883.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	5	N20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot2-34_1_9883.d.zip	A549
PXD041421-Sample-1	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	1	cell line	run6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot2-34_1_9884.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	6	N20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot2-34_1_9884.d.zip	A549
PXD041421-Sample-1	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	1	cell line	run7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot2-34_1_9885.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	7	N20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot2-34_1_9885.d.zip	A549
PXD041421-Sample-1	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	1	cell line	run8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot2-34_1_9886.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	8	N20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot2-34_1_9886.d.zip	A549
PXD041421-Sample-2	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	2	cell line	run1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_1_Slot1-17_1_3187.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	1	CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_1_Slot1-17_1_3187.d.zip	A549
PXD041421-Sample-2	Homo sapiens	lung	lung adenocarcinoma	A549	CVCL_0023	cell line	58Y	adult	not available	not available	Male	2	cell line	run2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_2_Slot1-17_1_3188.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	2	CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_2_Slot1-17_1_3188.d.zip	A549
