source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
PXD049692-NK-mock-r1	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	1	primary cell	run 1	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01641_2_1_1683.d.zip	1	TOF01641_2_1_1683.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mock
PXD049692-NK-mock-r2	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	2	primary cell	run 2	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01642_2_1_1684.d.zip	1	TOF01642_2_1_1684.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mock
PXD049692-NK-mock-r3	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	3	primary cell	run 3	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01643_2_1_1685.d.zip	1	TOF01643_2_1_1685.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mock
PXD049692-NK-fibrin-r1	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	1	primary cell	run 4	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01645_2_1_1687.d.zip	1	TOF01645_2_1_1687.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	fibrin 1h
PXD049692-NK-fibrin-r2	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	2	primary cell	run 5	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01646_2_1_1688.d.zip	1	TOF01646_2_1_1688.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	fibrin 1h
PXD049692-NK-fibrin-r3	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	3	primary cell	run 6	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01647_2_1_1689.d.zip	1	TOF01647_2_1_1689.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	fibrin 1h
PXD049692-NK-IL15-r1	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	1	primary cell	run 7	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01649_2_1_1691.d.zip	1	TOF01649_2_1_1691.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	IL-15 1h
PXD049692-NK-IL15-r2	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	2	primary cell	run 8	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01650_2_1_1692.d.zip	1	TOF01650_2_1_1692.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	IL-15 1h
PXD049692-NK-fibrinIL15-r1	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	1	primary cell	run 9	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01652_2_1_1694.d.zip	1	TOF01652_2_1_1694.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	fibrin+IL-15 1h
PXD049692-NK-fibrinIL15-r2	Homo sapiens	blood	normal	not available	natural killer cell	enrichment of phosphorylated protein	2	primary cell	run 10	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD049692/TOF01653_2_1_1695.d.zip	1	TOF01653_2_1_1695.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	fibrin+IL-15 1h
