source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[mycn copy number state]	factor value[treatment]
PXD064049-untreated-MYCNhigh-1	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	1	cell	run 1	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	Ctrl_High_1_S1-A4_1_3963.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	high	untreated
PXD064049-untreated-MYCNhigh-2	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	2	cell	run 2	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	Ctrl_High_2_S1-A5_1_3965.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	high	untreated
PXD064049-untreated-MYCNhigh-3	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	3	cell	run 3	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	Ctrl_High_3_S1-A6_1_3967.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	high	untreated
PXD064049-untreated-MYCNlow-1	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	1	cell	run 4	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	Ctrl_Low_1_S1-A1_1_3962.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	low	untreated
PXD064049-untreated-MYCNlow-2	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	2	cell	run 5	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	Ctrl_Low_2_S1-A2_1_3964.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	low	untreated
PXD064049-untreated-MYCNlow-3	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	3	cell	run 6	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	Ctrl_Low_3_S1-A3_1_3966.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	low	untreated
PXD064049-5days-MYCNhigh-1	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	1	cell	run 7	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	5d_High_1_S1-B7_1_5914.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	high	5 days
PXD064049-5days-MYCNhigh-2	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	2	cell	run 8	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	5d_High_2_S1-B8_1_5916.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	high	5 days
PXD064049-5days-MYCNhigh-3	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	3	cell	run 9	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	5d_High_3_S1-B9_1_5918.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	high	5 days
PXD064049-5days-MYCNlow-1	Homo sapiens	not applicable	neuroblastoma	CHP212	malignant cell	1	cell	run 10	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	15 ppm	15 ppm	1	5d_Low_1_S1-B10_1_5915.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	low	5 days
