source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	factor value[organism]
PXD067119-sample-1	Homo sapiens	plasma	1	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX56_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-2	Homo sapiens	plasma	1	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX21_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-3	Homo sapiens	plasma	1	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX60_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-4	Homo sapiens	plasma	1	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX41_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-5	Homo sapiens	plasma	1	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX39_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-6	Homo sapiens	plasma	1	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX33_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-7	Homo sapiens	plasma	1	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX44_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-8	Homo sapiens	plasma	1	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX66_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-9	Homo sapiens	plasma	1	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX26_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-10	Homo sapiens	plasma	1	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX17_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-11	Homo sapiens	plasma	1	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX40_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-12	Homo sapiens	plasma	1	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX54_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-13	Homo sapiens	plasma	1	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX37_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-14	Homo sapiens	plasma	1	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX15_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-15	Homo sapiens	plasma	1	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX72_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-16	Homo sapiens	plasma	1	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX72_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-17	Homo sapiens	plasma	1	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX19_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-18	Homo sapiens	plasma	1	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX15_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-19	Homo sapiens	plasma	1	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX40_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-20	Homo sapiens	plasma	1	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX16_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-21	Homo sapiens	plasma	1	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX51_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-22	Homo sapiens	plasma	1	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX73_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-23	Homo sapiens	plasma	1	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX49_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-24	Homo sapiens	plasma	1	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX50_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-25	Homo sapiens	plasma	1	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX46_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-26	Homo sapiens	plasma	1	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX71_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-27	Homo sapiens	plasma	1	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX59_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-28	Homo sapiens	plasma	1	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX36_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-29	Homo sapiens	plasma	1	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX14_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-30	Homo sapiens	plasma	1	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX78_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-31	Homo sapiens	plasma	1	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX31_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-32	Homo sapiens	plasma	1	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX48_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-33	Homo sapiens	plasma	1	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX12_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-34	Homo sapiens	plasma	1	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX71_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-35	Homo sapiens	plasma	1	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX78_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-36	Homo sapiens	plasma	1	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX34_B.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-37	Homo sapiens	plasma	1	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX70_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-38	Homo sapiens	plasma	1	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX77_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-39	Homo sapiens	plasma	1	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX20_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-40	Homo sapiens	plasma	1	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX55_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-41	Homo sapiens	plasma	1	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX23_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-42	Homo sapiens	plasma	1	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX25_B.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-43	Homo sapiens	plasma	1	not available	not available	not available	run 43	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX76_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
